input_id	dealiased_id	standard_id	short_id
url:https://github.com/greenelab/manubot	url:https://github.com/greenelab/manubot	url:https://github.com/greenelab/manubot	cTN2TQIL
doi:10.1088/0067-0049/192/1/9	doi:10.1088/0067-0049/192/1/9	doi:10.1088/0067-0049/192/1/9	1GOm01ggN
doi:10.21105/joss.01774	doi:10.21105/joss.01774	doi:10.21105/joss.01774	v58DzoTC
Croft2015	Croft2015	Croft2015	xbCL1tS1
Juric2015a	Juric2015a	Juric2015a	gw5rMEhN
Morton1996	Morton1996	Morton1996	PSH5f9xg
Hilbert1970	Hilbert1970	Hilbert1970	oIYFC4kD
Springel2005b	Springel2005b	Springel2005b	I01oLUIj
Teyssier2001	Teyssier2001	Teyssier2001	1D5nekPGx
Hjaltason2002	Hjaltason2002	Hjaltason2002	LpXfagAT
Connor2010	Connor2010	Connor2010	12vJ72aHG
Orenstein1984	Orenstein1984	Orenstein1984	4mimKxQe
Wu1998	Wu1998	Wu1998	f1rS5tZk
Chan1998	Chan1998	Chan1998	YV4eT8wZ
Chan1999	Chan1999	Chan1999	DMkimxcD
Malensek2014	Malensek2014	Malensek2014	itaUSTKC
Sinha2006	Sinha2006	Sinha2006	QMaCupmb
Sinha2007	Sinha2007	Sinha2007	mMJ3UeWp
Stockinger2000	Stockinger2000	Stockinger2000	VzYAeBg3
Wu2003	Wu2003	Wu2003	AFyCFou3
Yu1998	Yu1998	Yu1998	Sju7gfgZ
Shoshani1999	Shoshani1999	Shoshani1999	uibMnWfE
Stockinger2004	Stockinger2004	Stockinger2004	pe5S32KG
Wu2001	Wu2001	Wu2001	yuSdhiDQ
Lemire2010	Lemire2010	Lemire2010	zXsFmNjY
Kaser2016	Kaser2016	Kaser2016	2qfATif3
Monaghan1992	Monaghan1992	Monaghan1992	1C6sv2xA4
Springel2001	Springel2001	Springel2001	DQa79Dfo
Hopkins2015	Hopkins2015	Hopkins2015	18bL4U0kM
Behnel2011	Behnel2011	Behnel2011	RNeSxk82
amrvac-paper	doi:10.1016/S0010-4655(03)00139-5	doi:10.1016/s0010-4655(03)00139-5	zZcl1XfZ
doi:10.1088/0067-0049/214/1/4	doi:10.1088/0067-0049/214/1/4	doi:10.1088/0067-0049/214/1/4	aP30JL4t
doi:10.3847/1538-4365/aaa6c8	doi:10.3847/1538-4365/aaa6c8	doi:10.3847/1538-4365/aaa6c8	ooR7tjmM
doi:10.1051/0004-6361/202037616	doi:10.1051/0004-6361/202037616	doi:10.1051/0004-6361/202037616	qhbp5GQg
doi:10.1051/0004-6361/202039630	doi:10.1051/0004-6361/202039630	doi:10.1051/0004-6361/202039630	13jLWXZs6
doi:10.1051/0004-6361/201937414	doi:10.1051/0004-6361/201937414	doi:10.1051/0004-6361/201937414	rbiXHtk4
doi:10.3847/1538-4357/aa6dff	doi:10.3847/1538-4357/aa6dff	doi:10.3847/1538-4357/aa6dff	11kNsPLrg
doi:10.1093/mnras/stab2553	doi:10.1093/mnras/stab2553	doi:10.1093/mnras/stab2553	K2xKlXYH
doi:10.1093/mnras/staa3972	doi:10.1093/mnras/staa3972	doi:10.1093/mnras/staa3972	19CnTqnJi
doi:10.1093/mnras/stac1164	doi:10.1093/mnras/stac1164	doi:10.1093/mnras/stac1164	8yudbbM3
doi:10.3847/1538-4357/aa9b80	doi:10.3847/1538-4357/aa9b80	doi:10.3847/1538-4357/aa9b80	12IBqVsGq
doi:10.3847/2041-8213/abbffd	doi:10.3847/2041-8213/abbffd	doi:10.3847/2041-8213/abbffd	159ZGwZYu
doi:10.21105/joss.01370	doi:10.21105/joss.01370	doi:10.21105/joss.01370	juPUBGqN
doi:10.1088/1742-6596/1031/1/012024	doi:10.1088/1742-6596/1031/1/012024	doi:10.1088/1742-6596/1031/1/012024	9y1W7z3a
doi:10.21105/joss.02513	doi:10.21105/joss.02513	doi:10.21105/joss.02513	Ul6Zyy8M
doi:10.21105/joss.01757	doi:10.21105/joss.01757	doi:10.21105/joss.01757	15s0VliuP
doi:10.1093/mnras/stac439	doi:10.1093/mnras/stac439	doi:10.1093/mnras/stac439	1HoHM1Gnp
doi:10.3847/1538-3881/ab9abf	doi:10.3847/1538-3881/ab9abf	doi:10.3847/1538-3881/ab9abf	MDEDwL4n
doi:10.3847/1538-4357/ab54c6	doi:10.3847/1538-4357/ab54c6	doi:10.3847/1538-4357/ab54c6	Mz86NzmT
doi:10.1093/mnras/stw2153	doi:10.1093/mnras/stw2153	doi:10.1093/mnras/stw2153	pHJo1lO1
doi:10.1093/mnras/stab1057	doi:10.1093/mnras/stab1057	doi:10.1093/mnras/stab1057	158VPhStY
doi:10.1093/mnras/stab651	doi:10.1093/mnras/stab651	doi:10.1093/mnras/stab651	tZ9VJJVi
doi:10.1093/mnras/staa3590	doi:10.1093/mnras/staa3590	doi:10.1093/mnras/staa3590	qsP6SRrG
doi:10.1088/0067-0049/211/2/19	doi:10.1088/0067-0049/211/2/19	doi:10.1088/0067-0049/211/2/19	1AOjjAzwL
doi:10.1088/0004-637X/764/2/136	doi:10.1088/0004-637X/764/2/136	doi:10.1088/0004-637x/764/2/136	12pekKHkD
doi:10.3847/1538-4365/abfa17	doi:10.3847/1538-4365/abfa17	doi:10.3847/1538-4365/abfa17	XEFlUFJ9
doi:10.3847/1538-4357/ac6c87	doi:10.3847/1538-4357/ac6c87	doi:10.3847/1538-4357/ac6c87	EKVFk61S
doi:10.1093/mnras/stu979	doi:10.1093/mnras/stu979	doi:10.1093/mnras/stu979	QmIwzRzQ
doi:10.3847/1538-4357/ac5960	doi:10.3847/1538-4357/ac5960	doi:10.3847/1538-4357/ac5960	nKZ32a6
