,createdAt,closedAt,author,number,duration
4,2017-05-01 15:05:37+00:00,2017-05-15 20:15:14+00:00,Nathan Goldbaum,1351,1228177.0
6,2017-05-01 17:20:36+00:00,2017-05-08 19:49:21+00:00,John ZuHone,1353,613725.0
8,2017-05-01 18:23:41+00:00,2017-05-16 20:24:24+00:00,Kacper Kowalik,1355,1303243.0
9,2017-05-02 00:39:57+00:00,2017-05-08 21:12:41+00:00,Nathan Goldbaum,1356,592364.0
10,2017-05-02 01:23:08+00:00,2017-05-03 17:52:56+00:00,Andrew Myers,1357,145788.0
11,2017-05-02 02:21:19+00:00,2017-05-03 21:21:46+00:00,Nathan Goldbaum,1358,154827.0
12,2017-05-02 19:32:02+00:00,2017-05-03 18:53:00+00:00,Nathan Goldbaum,1360,84058.0
13,2017-05-03 20:43:34+00:00,2017-05-05 16:01:25+00:00,Nathan Goldbaum,1363,155871.0
14,2017-05-03 21:11:05+00:00,2017-05-08 19:58:34+00:00,Nathan Goldbaum,1364,427649.0
15,2017-05-03 21:46:28+00:00,2017-05-04 04:37:52+00:00,Michael Zingale,1365,24684.0
16,2017-05-04 14:24:05+00:00,2017-05-08 19:58:54+00:00,Nathan Goldbaum,1369,365689.0
17,2017-05-04 16:28:57+00:00,2017-05-08 19:59:10+00:00,Nathan Goldbaum,1370,358213.0
18,2017-05-04 16:54:18+00:00,2017-05-05 14:40:01+00:00,Nathan Goldbaum,1371,78343.0
19,2017-05-05 15:05:08+00:00,2017-05-08 19:59:26+00:00,Nathan Goldbaum,1372,276858.0
20,2017-05-05 22:11:26+00:00,2017-05-08 20:23:50+00:00,Nathan Goldbaum,1373,252744.0
21,2017-05-05 23:42:40+00:00,2017-05-08 02:58:24+00:00,Andrew Myers,1375,184544.0
22,2017-05-06 02:29:34+00:00,2017-05-06 02:30:27+00:00,Bili Dong,1376,53.0
23,2017-05-07 20:36:54+00:00,2017-05-07 22:34:27+00:00,Marianne Corvellec,1377,7053.0
24,2017-05-07 22:48:47+00:00,2017-05-08 13:48:10+00:00,Nathan Goldbaum,1378,53963.0
25,2017-05-08 22:45:00+00:00,2017-05-09 18:35:04+00:00,Nathan Goldbaum,1380,71404.0
26,2017-05-09 14:20:11+00:00,2017-05-09 15:38:58+00:00,Nathan Goldbaum,1381,4727.0
27,2017-05-09 22:00:06+00:00,2017-05-25 21:18:08+00:00,John ZuHone,1382,1379882.0
28,2017-05-10 22:30:35+00:00,2017-05-11 16:48:21+00:00,Nathan Goldbaum,1383,65866.0
29,2017-05-12 16:49:07+00:00,2017-05-12 17:52:35+00:00,John ZuHone,1386,3808.0
30,2017-05-12 21:44:30+00:00,2017-05-15 17:28:03+00:00,Matthew Turk,1387,243813.0
31,2017-05-15 15:49:56+00:00,2017-05-15 18:20:14+00:00,Nathan Goldbaum,1388,9018.0
32,2017-05-15 19:46:18+00:00,2017-05-16 17:30:26+00:00,Nathan Goldbaum,1390,78248.0
33,2017-05-15 21:06:56+00:00,2017-05-16 15:58:29+00:00,Kacper Kowalik,1391,67893.0
35,2017-05-16 18:44:50+00:00,2017-05-16 20:01:10+00:00,Kacper Kowalik,1393,4580.0
36,2017-05-16 19:50:41+00:00,2017-05-18 15:56:12+00:00,Matthew Turk,1395,158731.0
37,2017-05-16 19:56:40+00:00,2017-05-17 17:13:15+00:00,Nathan Goldbaum,1396,76595.0
38,2017-05-17 15:15:16+00:00,2017-05-17 17:13:06+00:00,Kacper Kowalik,1397,7070.0
39,2017-05-17 18:03:30+00:00,2017-05-19 21:06:57+00:00,Kacper Kowalik,1398,183807.0
40,2017-05-17 21:01:46+00:00,2017-05-18 15:39:34+00:00,Nathan Goldbaum,1400,67068.0
41,2017-05-18 00:04:15+00:00,2017-05-19 21:06:45+00:00,Nathan Goldbaum,1402,162150.0
42,2017-05-18 16:33:28+00:00,2017-05-31 21:11:04+00:00,Nathan Goldbaum,1404,1139856.0
43,2017-05-19 16:48:40+00:00,2017-05-21 19:12:52+00:00,Kacper Kowalik,1408,181452.0
44,2017-05-19 17:11:24+00:00,2017-05-25 21:19:58+00:00,Nathan Goldbaum,1409,533314.0
45,2017-05-19 19:48:07+00:00,2017-05-24 16:42:21+00:00,Nathan Goldbaum,1411,420854.0
46,2017-05-20 13:18:49+00:00,2017-08-01 14:59:39+00:00,Nathan Goldbaum,1414,6313250.0
